project_id,case_label,address_label,bucket_expected,replay_success,replay_error,final_status,face_count,total_runtime_ms,ml_runtime_ms,crm_post_ml_ms,top_hotspot,v2p0_ground_like_count,v2p0_hard_suppressed_count,v2p1_structural_coherence_score,v2p1_main_plane_count,v2p1_mirrored_pair_count,v2p2_main_roof_coherence_score,v2p2_fragmented_main_roof,v2p3_roof_relationship_coherence_score,v2p3_main_relationship_count,v2p3_uncertain_count,v2p4_whole_roof_consistency_score,v2p4_dominant_story_strength,v2p4_uncertainty_ratio,v2p7_support_score,v2p7_risk_score,v2p7_effective_risk_score,v2p7_complexity_dampener,v2p7_final_decision_score,v2p7_decision_change_applied,v2p7_clean_structural_story,p8_pitch_correction_count,p9_fallback_verdict,p9_matched_fraction,review_reasons,v2p4_contradiction_flags,v2p7_explicit_escalation_triggers,v2p7_decision_reasons,buckets,visual_review_priority
mo4dqkup65m,15 Veteran Rd,"15 Veteran Rd, Woburn MA",clean_gable,true,,auto_accept,3,9465,6261,368,ml_request:6261ms,0,0,0.8,3,1,0.91,false,0.79,3,0,0.87,0.9,0,0.87,0,0,0.15,0.94,false,true,0,trusted,1,,,,,clean_auto_accept|fast_under_10s,
mo39gat1ykm,726 School St,"726 School St, Lowell MA",clean_simple,true,,needs_review,2,13146,8016,996,ml_request:8016ms,1,0,0,2,0,0.51,false,0.64,1,0,0.48,0.51,0,0.46,0.5,0.5,0,0.48,false,false,0,trusted,1,dense_roof_anomaly|majority_planes_need_review|google_solar_pitch_mismatch|v2p0_ground_surface_detected|v3_lidar_ground_veto,,aggregate_risk_elevated,v2_low_consistency|v2_weak_pair_coverage,needs_review|medium_10_to_15s|weak_whole_roof_story|weak_pair_coverage|likely_ground_issue,
mn9805q0ddm,20 Meadow Dr,"20 Meadow Dr, Lowell MA",improved_simple,true,,needs_review,2,19815,14853,844,ml_request:14853ms,1,1,0,2,0,0,false,0.37,0,0,0.24,0.35,0,0.21,0.8,0.8,0,0.2,false,false,0,trusted,1,v2p0_ground_surface_detected|v2p0_ground_surface_suppressed|v3_lidar_plane_disagreement|v3_ridge_conflict,,main_body_weak|aggregate_risk_elevated,v2_low_consistency|v2_fragmented_main_body|v2_weak_pair_coverage|v2_ground_suppression_material,needs_review|slow_over_15s|weak_whole_roof_story|weak_pair_coverage|fragmented_main_body|ground_suppression_triggered|likely_ground_issue,
mnc01zdwiub,225 Gibson St,"225 Gibson St, Lowell MA",complex_corrected,true,,needs_review,7,20518,15938,920,ml_request:15938ms,0,0,0.73,5,2,0.75,false,0.57,17,5,0.72,0.76,0.28,0.72,0,0,0.08,0.86,false,false,1,trusted,1,dense_roof_anomaly|google_solar_pitch_mismatch|google_solar_pitch_corrected|v3_lidar_plane_disagreement|v3_ridge_conflict|v3_polygon_split_applied|v3p4_enforcement_applied,,,,needs_review|slow_over_15s|p8_corrected,
mo39e58vsao,175 Warwick,"175 Warwick St, Lowell MA",steep_real,true,,needs_review,3,15818,11601,547,ml_request:11601ms,0,0,0,3,0,0.61,false,0.64,2,0,0.54,0.6,0,0.52,0.1,0.1,0,0.71,false,false,0,trusted,1,dense_roof_anomaly|majority_planes_need_review|google_solar_pitch_mismatch|v3_polygon_merge_applied,,,v2_weak_pair_coverage,needs_review|slow_over_15s|weak_pair_coverage,
mo22ewvgze7,Lawrence,"183 Sanborn St, Lawrence MA",improved_complex,true,,needs_review,3,29309,25788,945,ml_request:25788ms,0,0,0,3,0,0.62,false,0.43,3,2,0.38,0.41,0.67,0.4,0.65,0.65,0,0.27,false,false,0,trusted,1,dense_roof_anomaly|v3_lidar_plane_disagreement|v3_ridge_conflict,dominant_main_body_with_fragmented_relationships|high_uncertainty_on_main_faces,low_consistency_with_uncertainty|contradictions_with_weak_pairing|aggregate_risk_elevated,v2_low_consistency|v2_high_uncertainty|v2_weak_pair_coverage|v2_structural_contradiction,needs_review|slow_over_15s|weak_whole_roof_story|high_uncertainty|contradiction_present|weak_pair_coverage,
mngtq3e4skj,583 Westford St,"583 Westford St, Lowell MA",complex_coherent,true,,needs_review,3,25509,22109,1000,ml_request:22109ms,0,0,0.5,1,0,0.61,false,0.86,2,0,0.68,0.75,0,0.68,0,0,0,0.84,false,false,0,trusted,1,dense_roof_anomaly|v3_lidar_plane_disagreement,,,,needs_review|slow_over_15s,
mo4dq9hwv8i,13 Richardson St,"13 Richardson St, Woburn MA",single_ground,true,,needs_review,4,19021,15048,935,ml_request:15048ms,0,0,0.48,4,1,0.63,false,0.52,4,1,0.62,0.74,0.25,0.63,0,0,0,0.82,false,false,0,trusted,1,dense_roof_anomaly|build_tilt_quality_low|v3_lidar_plane_disagreement|v3_ridge_conflict,,,,needs_review|slow_over_15s,
mo4drfnho9i,11 Ash Road,"11 Ash St, Woburn MA",target_strip,true,,needs_review,4,12715,6886,744,ml_request:6886ms,0,0,0.83,4,1,0.93,false,0.75,6,1,0.87,0.89,0.17,0.87,0,0,0.15,0.94,false,true,0,trusted,1,build_tilt_quality_low,,,,needs_review|medium_10_to_15s,
mnb6yh8q3v2,254 Foster St,"254 Foster St, Lowell MA",borderline_soft_gate,true,,needs_review,4,15311,12366,727,ml_request:12366ms,0,0,0.79,4,2,0.87,false,0.65,6,1,0.79,0.8,0.17,0.79,0,0,0.12,0.9,false,false,0,trusted,1,crm_soft_gate_applied|dense_roof_anomaly|majority_planes_need_review|v3_ridge_conflict|v3_polygon_split_applied,,,,needs_review|slow_over_15s,
mno1jikqx5x,42 Tanager St,"42 Tanager St, Arlington MA",reject_too_strict,true,,needs_review,1,4143,1006,364,ml_request:1006ms,0,0,,,,0.63,false,,,,0.82,0.46,0,0.53,0,0,0,0.77,false,false,0,unmatched,0,pipeline_reject|usable_gate_very_low|v3_partial_build_rescue|v3_tree_obstruction_rescue|p9_build_unmatched|v3_lidar_plane_disagreement|v3_ridge_conflict|v3p3_polygon_suppressed,,,,needs_review|fast_under_10s|p9_unmatched|v3p5_rescued,
mo4ds3p992l,21 Stoddard,"21 Stoddard St, Woburn MA",wrong_pitch_resolved,true,,needs_review,6,6063,3845,302,ml_request:3845ms,0,0,0,3,0,0.59,false,0.59,8,4,0.51,0.5,0.29,0.48,0.1,0.1,0,0.69,false,false,0,trusted,1,dense_roof_anomaly|v3_lidar_plane_disagreement|v3_ridge_conflict|v3_polygon_split_applied|v3p3_polygon_suppressed|v3p4_enforcement_applied,,,v2_weak_pair_coverage,needs_review|fast_under_10s|weak_pair_coverage,
mo39fahcilm,52 Spaulding,"52 New Spaulding St, Lowell MA",reject_too_strict,true,,needs_review,2,3110,752,489,ml_request:752ms,0,0,0.5,1,0,0,false,0,0,0,0.28,0.16,0,0.19,0.5,0.5,0,0.35,false,false,0,unmatched,0,pipeline_reject|usable_gate_very_low|v3_partial_build_rescue|p9_build_unmatched|v3_ridge_conflict,,main_body_weak|aggregate_risk_elevated,v2_low_consistency|v2_fragmented_main_body,needs_review|fast_under_10s|weak_whole_roof_story|fragmented_main_body|p9_unmatched|v3p5_rescued,
mo39et102aj,94 C St,"94 C St, Lowell MA",reject_edge,true,,reject,0,2417,822,50,ml_request:822ms,0,0,,,,,,,,,,,,,,,,,false,,0,,,pipeline_reject|usable_gate_very_low,,,,reject|fast_under_10s,
mo39fj4nitp,44 D St,"44 D St, Lowell MA",reject_correct,true,,reject,0,3831,988,63,ml_request:988ms,0,0,,,,,,,,,,,,,,,,,false,,0,,,pipeline_reject|usable_gate_very_low,,,,reject|fast_under_10s,
mo22auk85lc,12 Brown St,"12 Brown St, Brockton MA",reject_correct,true,,reject,0,2835,733,40,ml_request:733ms,0,0,,,,,,,,,,,,,,,,,false,,0,,,pipeline_reject|usable_gate_very_low,,,,reject|fast_under_10s,
mnhm2fmoweo,Salem,"22 Ocean Ave, Salem MA",reject_correct,true,,needs_review,1,4266,642,384,ml_request:642ms,0,0,,,,0.55,false,,,,0.63,0.43,0,0.44,0,0,0,0.72,false,false,0,trusted,1,pipeline_reject|usable_gate_very_low|v3_hard_case_partial_rescue|v3_occlusion_rescue|google_solar_pitch_mismatch|v3_lidar_plane_disagreement,,,,needs_review|fast_under_10s|v3p6_rescued,
